30-31,2-31
13-97,13-96
26-88,76-87
38-52,39-52
22-88,1-89
4-25,3-25
43-73,42-74
26-26,25-47
34-84,40-84
2-52,1-85
52-60,52-61
7-93,7-58
37-56,28-56
29-99,66-98
4-72,3-77
12-13,12-95
40-84,84-84
12-56,28-47
58-74,74-74
24-32,24-32
11-91,5-10
41-69,36-97
40-51,39-52
68-86,30-87
45-96,44-98
12-89,6-12
5-81,32-89
54-62,12-62
30-86,86-86
50-58,58-58
41-61,40-62
1-99,2-99
8-32,9-11
2-3,2-90
31-80,30-80
32-82,33-55
61-75,62-74
16-98,16-99
21-63,62-62
7-53,6-84
23-61,24-61
6-90,5-96
73-74,3-74
70-83,41-84
92-92,6-93
2-90,89-89
18-79,17-80
95-95,57-95
51-93,52-86
1-5,13-43
7-61,8-21
7-54,11-54
80-81,80-94
38-39,38-76
6-27,7-26
2-96,71-86
28-73,27-90
2-93,1-93
93-93,22-93
25-63,24-63
9-46,10-46
31-31,17-31
14-18,2-12
72-73,64-73
51-78,52-68
96-96,95-96
5-95,5-5
2-17,1-99
10-94,9-61
85-87,3-91
95-95,4-95
28-84,12-93
96-97,7-97
60-99,61-99
97-97,7-98
73-74,5-74
59-94,60-60
2-5,5-40
28-39,10-41
37-80,36-81
16-84,16-97
7-63,7-64
7-54,6-54
19-36,35-35
67-80,67-79
6-74,15-90
3-89,2-89
43-95,16-96
67-69,3-88
8-82,4-95
28-93,28-93
73-98,73-73
84-92,91-91
30-90,29-90
9-88,38-92
44-89,43-90
60-67,59-67
44-51,31-84
79-84,68-85
95-95,1-95
11-98,11-99
49-92,82-91
43-52,44-51
22-40,22-23
65-94,81-94
7-96,4-97
6-6,9-19
82-85,33-85
6-21,2-75
21-82,8-8
27-80,27-81
12-83,13-13
12-21,12-20
54-56,54-57
42-71,42-72
8-8,8-96
27-58,28-52
29-75,28-76
3-77,3-78
11-35,11-36
26-43,38-41
51-56,33-57
2-81,31-75
24-74,25-65
4-97,4-98
4-30,19-31
21-64,1-64
38-47,40-40
51-93,51-92
90-91,6-91
36-46,10-67
7-70,6-71
52-81,51-81
28-64,29-29
15-47,15-16
15-65,15-97
98-98,1-99
3-10,10-73
29-81,29-45
64-93,5-99
28-30,28-31
18-75,19-75
3-4,3-95
7-30,30-31
9-96,9-95
22-38,18-39
98-99,1-99
81-97,9-83
17-96,17-98
10-66,11-65
4-91,4-91
52-76,73-74
17-17,16-17
9-90,9-89
42-74,42-84
68-77,69-77
15-89,15-90
43-46,40-46
3-97,2-98
13-26,12-97
4-89,4-99
30-71,31-71
1-99,4-96
24-80,25-80
17-43,17-44
11-46,11-45
15-15,3-14
33-91,52-60
23-33,22-33
14-98,15-15
1-71,34-71
21-25,8-17
17-49,1-69
3-88,2-98
4-25,3-25
8-10,8-11
95-97,45-98
63-92,62-93
61-79,60-80
40-86,41-86
69-73,69-72
3-76,75-75
3-85,10-85
36-69,35-69
58-82,57-82
16-98,15-99
59-91,27-91
4-99,5-94
37-92,37-96
6-33,5-33
34-34,13-34
33-64,49-61
37-45,36-52
13-96,8-82
41-66,27-67
